Name,Symbol,Price,Day,Screen,Probability Up,Rating,Test Acc,Baseline,Model,Risk,Reward Risk,To Support,To Resistance,Buy Score
Take Solutions Limited,TAKE.NS,17.610000610351562,0.04946364062825204,BUY,0.6187709205060412,Neutral,0.673202614379085,0.5,Global,9.8,5.4039268357848975,,0.3850084352246663,65.60521269196873
Kesoram Industries Limited,KESORAMIND.NS,12.010000228881836,0.019524660536866856,HOLD,0.4795603549246627,Neutral,0.7058823529411765,0.5751633986928104,Global,6.2,2.7801407694636766,0.1028466345499992,0.06994172660945042,65.04012999318188
Ansal Properties & Infrastructure Limited,ANSALAPI.NS,3.3399999141693115,-0.014749318344424278,HOLD,0.4506073676280024,Neutral,0.6698113207547169,0.5408805031446541,Global,6.7,6.444691234431767,0.009063435621868399,0.08982041869587176,64.25061070976
Sadhana Nitrochem Limited,SADHNANIQ.NS,2.8399999141693115,-0.006993000580457598,SELL,0.42991495430401017,Sell,0.673202614379085,0.5686274509803921,Global,6.5,3.608893675630581,0.09652509972386714,0.10211274966056827,63.66666139015116
Supreme Engineering Limited,SUPREMEENG.NS,3.3299999237060547,0.018348606461624728,BUY,0.622808949330473,Neutral,0.8244514106583072,0.5830721003134796,Global,5.5,2.0,2.1121493088479695,,63.14044746652365
Shipping Corporation of India Land and Assets Limited,SCILAL.NS,38.13999938964844,-0.00832032507648739,HOLD,0.452018467708291,Neutral,0.7075471698113207,0.6415094339622642,Global,5.1,3.749059883109787,0.12744795622370142,0.13442817917184402,62.22025199430096
Sejal Glass Limited,SEJALLTD.NS,646.2999877929688,-0.03824406578427264,HOLD,0.4549688619780292,Neutral,0.6771929824561403,0.5859649122807018,Global,8.4,9.63239506631909,0.01867755592708642,0.22388985755850488,61.480959737703316
Indosolar Limited,WAAREEINDO.NS,251.9499969482422,-0.024394977935170647,HOLD,0.47242055103233516,Neutral,0.7175141242937854,0.6327683615819208,Global,7.9,11.284539273152317,,0.7310974367111511,60.82102755161676
Sadbhav Engineering Limited,SADBHAV.NS,7.869999885559082,-0.02357326602554355,HOLD,0.4554630603407485,Neutral,0.7060702875399361,0.6198083067092652,Global,9.5,2.9539839644132893,0.015483856201171875,0.23888184774825616,60.002434255095935
R M Drip and Sprinklers Systems Limited,RMDRIP.NS,23.549999237060547,0.00942988915876275,HOLD,0.47020395227113426,Neutral,0.5705128205128205,0.5,Global,8.8,3.677690018866776,0.1280086593770664,0.23106869354794557,59.298142960449844
Gujarat Lease Financing Limited,GLFL.NS,5.21999979019165,-0.007604645807912647,HOLD,0.47547227149535704,Neutral,0.7192429022082019,0.6277602523659306,Global,9.4,3.6477750138244462,0.0460921903052407,0.17816098516387813,59.116699301874796
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS,418.79998779296875,0.0025134357701226406,SELL,0.44308079540945733,Sell,0.639344262295082,0.5934426229508196,Global,4.4,3.5723336100984726,0.0021006672476169275,0.10651746080259072,58.938566229633864
Seya Industries Limited,SEYAIND.NS,12.680000305175781,0.019292663415434452,HOLD,0.4553537663348048,Neutral,0.7083333333333334,0.6025641025641026,Global,7.0,2.0,0.0023715958537706694,0.023659245255545525,58.589818627707444
Vibhor Steel Tubes Limited,VSTL.NS,119.70999908447266,-0.0038279028999064213,SELL,0.4397099161214424,Sell,0.6428571428571429,0.5803571428571428,Global,6.5,3.832813728467259,0.022987545022850053,0.01904601784925264,58.55309659602506
GVK Power & Infrastructure Limited,GVKPIL.NS,2.25,0.018099529937821268,HOLD,0.479535753376346,Neutral,0.6556776556776557,0.5934065934065934,Global,6.6,11.855852604958374,,0.41777780320909286,58.4778865699162
MEP Infrastructure Developers Limited,MEP.NS,0.6700000166893005,0.0,SELL,0.4326995264316615,Sell,0.7229299363057324,0.6337579617834395,Global,6.4,22.59649754627469,0.3400000333786011,0.6865671150507506,58.43497632158307
Aartech Solonics Limited,AARTECH.NS,51.9900016784668,-0.0015363552300035055,SELL,0.41298517126944834,Sell,0.7214285714285714,0.65,Global,8.2,5.076704810042748,0.019211985673010634,0.0076937429941901225,57.46550249513946
Venus Remedies Limited,VENUSREM.NS,1616.300048828125,-0.004863873033643551,SELL,0.43941510514350907,Sell,0.625,0.53125,Global,7.2,2.1351084058592575,0.015424256843300732,0.15727274855691498,57.35791976241678
